GEO_ID,NAME,B13002_002E,B13002_001E,B132002_003,B132002_003a,B132002_003b,B132002_003c,B132002_003d,B132002_003e,B132002_003f
47001,"Anderson County, Tennessee",838,16344,0.051272638,0.05,0.051272638,512.72638,512,5.1272638,5
47003,"Bedford County, Tennessee",672,10983,0.061185468,0.06,0.061185468,611.85468,611,6.1185468,6
47005,"Benton County, Tennessee",143,3028,0.047225892,0.05,0.047225892,472.25892,472,4.7225892,4
47007,"Bledsoe County, Tennessee",74,2415,0.030641822,0.03,0.030641822,306.41822,306,3.0641822,3
47009,"Blount County, Tennessee",1379,28704,0.048042085,0.05,0.048042085,480.42085,480,4.8042085,4
47011,"Bradley County, Tennessee",1107,24968,0.044336751,0.04,0.044336751,443.36751,443,4.4336751,4
47013,"Campbell County, Tennessee",471,8596,0.054792927,0.05,0.054792927,547.92927,547,5.4792927,5
47015,"Cannon County, Tennessee",203,3068,0.066166884,0.07,0.066166884,661.66884,661,6.6166884,6
47017,"Carroll County, Tennessee",275,5764,0.047709924,0.05,0.047709924,477.09924,477,4.7709924,4
47019,"Carter County, Tennessee",283,12064,0.023458223,0.02,0.023458223,234.58223,234,2.3458223,2
47021,"Cheatham County, Tennessee",483,9197,0.052517125,0.05,0.052517125,525.17125,525,5.2517125,5
47023,"Chester County, Tennessee",147,4217,0.034858904,0.03,0.034858904,348.58904,348,3.4858904,3
47025,"Claiborne County, Tennessee",449,7220,0.062188366,0.06,0.062188366,621.88366,621,6.2188366,6
47027,"Clay County, Tennessee",111,1511,0.073461284,0.07,0.073461284,734.61284,734,7.3461284,7
47029,"Cocke County, Tennessee",155,7384,0.020991333,0.02,0.020991333,209.91333,209,2.0991333,2
47031,"Coffee County, Tennessee",323,12301,0.026258028,0.03,0.026258028,262.58028,262,2.6258028,2
47033,"Crockett County, Tennessee",159,3167,0.050205242,0.05,0.050205242,502.05242,502,5.0205242,5
47035,"Cumberland County, Tennessee",458,10208,0.044866771,0.04,0.044866771,448.66771,448,4.4866771,4
47037,"Davidson County, Tennessee",10632,189908,0.055985003,0.06,0.055985003,559.85003,559,5.5985003,5
47039,"Decatur County, Tennessee",146,2193,0.066575467,0.07,0.066575467,665.75467,665,6.6575467,6
47041,"DeKalb County, Tennessee",260,4235,0.061393152,0.06,0.061393152,613.93152,613,6.1393152,6
47043,"Dickson County, Tennessee",630,12063,0.052225814,0.05,0.052225814,522.25814,522,5.2225814,5
47045,"Dyer County, Tennessee",381,8395,0.045384157,0.05,0.045384157,453.84157,453,4.5384157,4
47047,"Fayette County, Tennessee",431,8170,0.052753978,0.05,0.052753978,527.53978,527,5.2753978,5
47049,"Fentress County, Tennessee",109,3609,0.030202272,0.03,0.030202272,302.02272,302,3.0202272,3
47051,"Franklin County, Tennessee",561,9239,0.060720857,0.06,0.060720857,607.20857,607,6.0720857,6
47053,"Gibson County, Tennessee",704,11135,0.063224068,0.06,0.063224068,632.24068,632,6.3224068,6
47055,"Giles County, Tennessee",298,6257,0.047626658,0.05,0.047626658,476.26658,476,4.7626658,4
47057,"Grainger County, Tennessee",152,4937,0.030787928,0.03,0.030787928,307.87928,307,3.0787928,3
47059,"Greene County, Tennessee",590,14605,0.040397124,0.04,0.040397124,403.97124,403,4.0397124,4
47061,"Grundy County, Tennessee",170,2777,0.061217141,0.06,0.061217141,612.17141,612,6.1217141,6
47063,"Hamblen County, Tennessee",552,14133,0.039057525,0.04,0.039057525,390.57525,390,3.9057525,3
47065,"Hamilton County, Tennessee",4153,86041,0.048267686,0.05,0.048267686,482.67686,482,4.8267686,4
47067,"Hancock County, Tennessee",96,1295,0.074131274,0.07,0.074131274,741.31274,741,7.4131274,7
47069,"Hardeman County, Tennessee",288,4632,0.062176166,0.06,0.062176166,621.76166,621,6.2176166,6
47071,"Hardin County, Tennessee",392,5239,0.07482344,0.07,0.07482344,748.2344,748,7.482344,7
47073,"Hawkins County, Tennessee",687,12029,0.057111979,0.06,0.057111979,571.11979,571,5.7111979,5
47075,"Haywood County, Tennessee",163,3788,0.043030623,0.04,0.043030623,430.30623,430,4.3030623,4
47077,"Henderson County, Tennessee",417,6301,0.066179971,0.07,0.066179971,661.79971,661,6.6179971,6
47079,"Henry County, Tennessee",276,6447,0.04281061,0.04,0.04281061,428.1061,428,4.281061,4
47081,"Hickman County, Tennessee",300,5123,0.058559438,0.06,0.058559438,585.59438,585,5.8559438,5
47083,"Houston County, Tennessee",51,1708,0.029859485,0.03,0.029859485,298.59485,298,2.9859485,2
47085,"Humphreys County, Tennessee",240,3929,0.061084245,0.06,0.061084245,610.84245,610,6.1084245,6
47087,"Jackson County, Tennessee",88,2338,0.037639008,0.04,0.037639008,376.39008,376,3.7639008,3
47089,"Jefferson County, Tennessee",591,11600,0.050948276,0.05,0.050948276,509.48276,509,5.0948276,5
47091,"Johnson County, Tennessee",194,3077,0.063048424,0.06,0.063048424,630.48424,630,6.3048424,6
47093,"Knox County, Tennessee",4868,115322,0.042212241,0.04,0.042212241,422.12241,422,4.2212241,4
47095,"Lake County, Tennessee",107,994,0.107645875,0.11,0.107645875,1076.45875,1076,10.7645875,10
47097,"Lauderdale County, Tennessee",380,5467,0.069507957,0.07,0.069507957,695.07957,695,6.9507957,6
47099,"Lawrence County, Tennessee",602,9545,0.06306967,0.06,0.06306967,630.6967,630,6.306967,6
47101,"Lewis County, Tennessee",83,2531,0.032793362,0.03,0.032793362,327.93362,327,3.2793362,3
47103,"Lincoln County, Tennessee",449,6918,0.064903151,0.06,0.064903151,649.03151,649,6.4903151,6
47105,"Loudon County, Tennessee",450,9849,0.045689918,0.05,0.045689918,456.89918,456,4.5689918,4
47107,"McMinn County, Tennessee",707,11889,0.059466734,0.06,0.059466734,594.66734,594,5.9466734,5
47109,"McNairy County, Tennessee",325,5312,0.061182229,0.06,0.061182229,611.82229,611,6.1182229,6
47111,"Macon County, Tennessee",431,5352,0.080530643,0.08,0.080530643,805.30643,805,8.0530643,8
47113,"Madison County, Tennessee",1652,23348,0.070755525,0.07,0.070755525,707.55525,707,7.0755525,7
47115,"Marion County, Tennessee",422,6064,0.069591029,0.07,0.069591029,695.91029,695,6.9591029,6
47117,"Marshall County, Tennessee",448,7821,0.057281678,0.06,0.057281678,572.81678,572,5.7281678,5
47119,"Maury County, Tennessee",974,21614,0.045063385,0.05,0.045063385,450.63385,450,4.5063385,4
47121,"Meigs County, Tennessee",176,2428,0.072487644,0.07,0.072487644,724.87644,724,7.2487644,7
47123,"Monroe County, Tennessee",501,9579,0.05230191,0.05,0.05230191,523.0191,523,5.230191,5
47125,"Montgomery County, Tennessee",3463,54220,0.063869421,0.06,0.063869421,638.69421,638,6.3869421,6
47127,"Moore County, Tennessee",117,1264,0.092563291,0.09,0.092563291,925.63291,925,9.2563291,9
47129,"Morgan County, Tennessee",202,4050,0.049876543,0.05,0.049876543,498.76543,498,4.9876543,4
47131,"Obion County, Tennessee",338,6543,0.051658261,0.05,0.051658261,516.58261,516,5.1658261,5
47133,"Overton County, Tennessee",355,4705,0.075451647,0.08,0.075451647,754.51647,754,7.5451647,7
47135,"Perry County, Tennessee",62,1620,0.038271605,0.04,0.038271605,382.71605,382,3.8271605,3
47137,"Pickett County, Tennessee",12,795,0.01509434,0.02,0.01509434,150.9434,150,1.509434,1
47139,"Polk County, Tennessee",145,3492,0.041523482,0.04,0.041523482,415.23482,415,4.1523482,4
47141,"Putnam County, Tennessee",809,18619,0.043450239,0.04,0.043450239,434.50239,434,4.3450239,4
47143,"Rhea County, Tennessee",469,7199,0.065147937,0.07,0.065147937,651.47937,651,6.5147937,6
47145,"Roane County, Tennessee",673,10645,0.06322217,0.06,0.06322217,632.2217,632,6.322217,6
47147,"Robertson County, Tennessee",887,16148,0.054929403,0.05,0.054929403,549.29403,549,5.4929403,5
47149,"Rutherford County, Tennessee",4423,86780,0.050967965,0.05,0.050967965,509.67965,509,5.0967965,5
47151,"Scott County, Tennessee",198,4890,0.040490798,0.04,0.040490798,404.90798,404,4.0490798,4
47153,"Sequatchie County, Tennessee",151,2977,0.050722204,0.05,0.050722204,507.22204,507,5.0722204,5
47155,"Sevier County, Tennessee",886,20913,0.042365992,0.04,0.042365992,423.65992,423,4.2365992,4
47157,"Shelby County, Tennessee",12003,233927,0.051310879,0.05,0.051310879,513.10879,513,5.1310879,5
47159,"Smith County, Tennessee",338,4345,0.077790564,0.08,0.077790564,777.90564,777,7.7790564,7
47161,"Stewart County, Tennessee",190,2932,0.064802183,0.06,0.064802183,648.02183,648,6.4802183,6
47163,"Sullivan County, Tennessee",1592,33100,0.048096677,0.05,0.048096677,480.96677,480,4.8096677,4
47165,"Sumner County, Tennessee",1914,43688,0.043810657,0.04,0.043810657,438.10657,438,4.3810657,4
47167,"Tipton County, Tennessee",1134,14296,0.079322888,0.08,0.079322888,793.22888,793,7.9322888,7
47169,"Trousdale County, Tennessee",127,1888,0.067266949,0.07,0.067266949,672.66949,672,6.7266949,6
47171,"Unicoi County, Tennessee",130,3496,0.037185355,0.04,0.037185355,371.85355,371,3.7185355,3
47173,"Union County, Tennessee",128,4305,0.029732869,0.03,0.029732869,297.32869,297,2.9732869,2
47175,"Van Buren County, Tennessee",30,1209,0.024813896,0.02,0.024813896,248.13896,248,2.4813896,2
47177,"Warren County, Tennessee",553,8847,0.062507065,0.06,0.062507065,625.07065,625,6.2507065,6
47179,"Washington County, Tennessee",1109,30732,0.036086164,0.04,0.036086164,360.86164,360,3.6086164,3
47181,"Wayne County, Tennessee",143,3070,0.046579805,0.05,0.046579805,465.79805,465,4.6579805,4
